status,paid_only,is_favor,frequency,progress,stat_question_id,stat_question__article__live,stat_question__article__slug,stat_question__article__has_video_solution,stat_question__title,stat_question__title_slug,stat_question__hide,stat_total_acs,stat_total_submitted,stat_frontend_question_id,stat_is_new_question,difficulty_level
,False,False,0,0,2079,,,,Delete Duplicate Folders in System,delete-duplicate-folders-in-system,False,1989,3225,1948,False,3
,False,False,0,0,2078,,,,Maximum Compatibility Score Sum,maximum-compatibility-score-sum,False,7760,13837,1947,False,2
,False,False,0,0,2077,,,,Largest Number After Mutating Substring,largest-number-after-mutating-substring,False,10108,31309,1946,False,2
,False,False,0,0,2076,,,,Sum of Digits of String After Convert,sum-of-digits-of-string-after-convert,False,12251,19557,1945,False,1
,True,False,0,0,2074,,,,Erect the Fence II,erect-the-fence-ii,False,299,459,1924,False,3
,True,False,0,0,2072,,,,Maximum of Minimum Values in All Subarrays,maximum-of-minimum-values-in-all-subarrays,False,202,407,1950,True,2
,True,False,0,0,2071,,,,Longest Common Subsequence Between Sorted Arrays,longest-common-subsequence-between-sorted-arrays,False,892,1059,1940,False,2
,True,False,0,0,2070,,,,Check if String Is Decomposable Into Value-Equal Substrings,check-if-string-is-decomposable-into-value-equal-substrings,False,812,1457,1933,False,1
,True,False,0,0,2069,,,,Kth Smallest Subarray Sum,kth-smallest-subarray-sum,False,688,1234,1918,False,2
,False,False,0,0,2068,,,,Maximum Genetic Difference Query,maximum-genetic-difference-query,False,2175,5811,1938,False,3
,False,False,0,0,2067,,,,Maximum Number of Points with Cost,maximum-number-of-points-with-cost,False,6688,24947,1937,False,2
,False,False,0,0,2066,,,,Add Minimum Number of Rungs,add-minimum-number-of-rungs,False,13028,31644,1936,False,2
,True,False,0,0,2062,,,,Game of Nim,game-of-nim,False,361,564,1908,False,2
,False,False,0,0,2061,,,,Painting a Grid With Three Different Colors,painting-a-grid-with-three-different-colors,False,3980,7072,1931,False,3
,False,False,0,0,2060,,,,Merge BSTs to Create Single BST,merge-bsts-to-create-single-bst,False,2411,7177,1932,False,3
,False,False,0,0,2059,,,,Unique Length-3 Palindromic Subsequences,unique-length-3-palindromic-subsequences,False,11406,23335,1930,False,2
,False,False,0,0,2058,,,,Concatenation of Array,concatenation-of-array,False,28058,30002,1929,False,1
,False,False,0,0,2055,,,,Describe the Painting,describe-the-painting,False,4432,10075,1943,False,2
,False,False,0,0,2054,,,,The Number of the Smallest Unoccupied Chair,the-number-of-the-smallest-unoccupied-chair,False,7032,19658,1942,False,2
,False,False,0,0,2053,,,,Check if All Characters Have Equal Number of Occurrences,check-if-all-characters-have-equal-number-of-occurrences,False,11671,15223,1941,False,1
,True,False,0,0,2052,,,,Depth of BST Given Insertion Order,depth-of-bst-given-insertion-order,False,680,1353,1902,False,2
,False,False,0,0,2051,,,,Longest Common Subpath,longest-common-subpath,False,2929,10756,1923,False,3
,False,False,0,0,2050,,,,Count Good Numbers,count-good-numbers,False,9804,25070,1922,False,2
,False,False,0,0,2049,,,,Eliminate Maximum Number of Monsters,eliminate-maximum-number-of-monsters,False,11550,30960,1921,False,2
